id,DistSim,GranSim,LevSim
1,0.00,0.20,0.25
2,0.00,0.20,0.00
3,0.00,0.20,0.30
4,0.00,0.20,0.11
5,0.00,0.60,0.25
6,0.00,0.33,0.28
7,0.06,0.80,0.33
8,0.00,0.20,0.27
9,0.00,0.60,0.33
10,0.00,0.80,0.27
11,0.00,0.25,0.36
12,0.00,0.20,0.18
13,0.00,0.60,0.40
14,0.00,0.80,0.30
15,0.00,0.33,0.20
16,0.00,0.66,0.18
17,0.00,0.66,0.31
18,0.00,0.33,0.27
19,0.00,0.33,0.27
20,0.00,0.33,0.23
21,0.00,0.33,0.25
22,0.00,0.66,0.30
23,0.00,0.33,0.30
24,0.00,0.33,0.23
25,0.00,0.33,0.38
26,0.00,1.00,0.33
27,0.00,0.33,0.40
28,0.00,0.33,0.27
29,0.00,0.33,0.33
30,0.00,0.33,0.25
31,0.00,0.33,0.37
32,0.00,0.33,0.26
33,0.00,0.66,0.55
34,0.00,0.33,0.21
35,0.00,0.66,0.40
36,0.00,0.33,0.42
37,0.00,0.66,0.28
38,0.00,0.66,0.27
39,0.00,0.33,0.28
40,0.00,0.33,0.21
41,0.00,0.66,0.50
42,0.00,0.66,0.22
43,0.00,0.25,0.25
44,0.00,0.50,0.12
45,0.00,0.50,0.35
46,0.00,0.25,0.11
47,0.00,0.25,0.36
48,0.00,0.33,0.07
49,0.00,0.25,0.30
50,0.00,0.50,0.41
51,0.00,0.25,0.25
52,0.00,0.25,0.28
53,0.00,0.25,0.33
54,0.00,0.75,0.42
55,0.00,0.25,0.57
56,0.00,0.25,0.22
57,0.00,0.75,0.40
58,0.00,0.25,0.07
59,0.00,0.25,0.31
60,0.00,0.75,0.23
61,0.00,0.25,0.30
62,0.00,0.33,0.23
63,0.00,0.25,0.37
64,0.00,0.25,0.30
65,0.00,0.25,0.28
66,0.00,0.25,0.18
67,0.00,0.75,0.38
68,0.00,0.25,0.23
69,0.00,0.25,0.50
70,0.00,0.25,0.22
71,0.00,0.33,0.25
72,0.00,0.33,0.16
73,0.00,0.33,0.37
74,0.00,0.33,0.22
75,0.00,0.33,0.43
76,0.00,0.33,0.22
77,0.00,0.33,0.37
78,0.00,0.33,0.33
79,0.00,0.33,0.30
